Make,Model,Survival.Index,Damage.Index,Frequency.Score,Risk.Score,Total_Persons
737,800,1.0,0.3,0.0003638568829593693,0.09010915706488781,329.0
AERO COMMANDER,100,0.375,0.7,0.0002159577339863484,0.4600647873201959,10.0
AERO COMMANDER,100-180,0.6666666666666666,0.6999999999999998,8.098415024488063e-05,0.3433576285784068,7.0
AERO COMMANDER,500,0.6666666666666666,0.5666666666666667,8.098415024488063e-05,0.30335762857840676,13.0
AERO COMMANDER,500 S,0.5,0.6499999999999999,0.0001079788669931742,0.39503239366009796,7.0
AERO COMMANDER,500-B,0.25,0.7,0.0001079788669931742,0.510032393660098,11.0
AERO COMMANDER,S2R,0.5,0.7642857142857142,0.0003779260344761097,0.4293990920960571,14.0
AERO VODOCHODY,L39C,0.25,0.7749999999999999,0.0001079788669931742,0.532532393660098,5.0
AERONCA,11AC,0.6304347826086957,0.7130434782608696,0.0006208784852107516,0.3619253939803458,35.0
AERONCA,11CC,1.0,0.6999999999999998,8.098415024488063e-05,0.21002429524507346,6.0
AERONCA,15AC,0.7777777777777778,0.7,0.0002429524507346419,0.2989617746241093,11.0
AERONCA,7AC,0.6428571428571429,0.7142857142857143,0.0017006671551424936,0.3576530572893999,93.0
AERONCA,7BCM,0.4230769230769231,0.723076923076923,0.000350931317727816,0.447797587087626,16.0
AERONCA,7CCM,0.7037037037037037,0.7,0.0002429524507346419,0.3285914042537389,15.0
AERONCA,7DC,1.0,0.6999999999999998,8.098415024488063e-05,0.21002429524507346,5.0
AERONCA,7EC,0.8,0.7,0.00013497358374146774,0.29004049207512245,8.0
AEROPRO CZ,A220,0.75,0.7749999999999999,0.0001079788669931742,0.3325323936600979,6.0
AEROPRO CZ,EUROFOX LSA,0.875,0.7,0.0001079788669931742,0.26003239366009795,6.0
AEROTEK,PITTS SPECIAL S-1S,0.8333333333333333,0.7,5.39894334965871e-05,0.27668286349671567,5.0
AIR TRACTOR,AT-502B,0.6,0.76,0.00013497358374146774,0.3880404920751224,5.0
AIR TRACTOR,AT-602,0.4,0.76,0.00013497358374146774,0.4680404920751224,5.0
AIR TRACTOR,AT-802A,0.2857142857142857,0.7428571428571428,0.00018896301723805484,0.5086281174766,7.0
AIR TRACTOR,AT402,0.3333333333333333,0.85,0.00016196830048976127,0.5217152571568135,6.0
AIR TRACTOR,AT502,0.11764705882352941,0.7882352941176469,0.0004589101847209903,0.5895494377612986,17.0
AIR TRACTOR,AT602,0.5714285714285714,0.7,0.00018896301723805484,0.3814852603337428,6.0
AIR TRACTOR,AT802,0.38461538461538464,0.7846153846153846,0.000350931317727816,0.4816437409337799,15.0
AIR TRACTOR INC,AT 301,1.0,0.6999999999999998,0.00016196830048976127,0.21004859049014693,6.0
AIR TRACTOR INC,AT 402B,0.6,0.7,0.00013497358374146774,0.37004049207512246,5.0
AIR TRACTOR INC,AT 502,0.6153846153846154,0.7923076923076923,0.000350931317727816,0.3916437409337799,13.0
AIR TRACTOR INC,AT 502B,0.47368421052631576,0.7631578947368421,0.0005128996182175773,0.4396275540959916,20.0
AIR TRACTOR INC,AT 602,0.4166666666666667,0.7749999999999999,0.00032393660097952253,0.4659305143136272,12.0
AIR TRACTOR INC,AT 802,0.7,0.7,0.0002699471674829355,0.3300809841502449,10.0
AIR TRACTOR INC,AT-301,0.7037037037037037,0.7111111111111111,0.0007288573522039257,0.33207050905751295,27.0
AIR TRACTOR INC,AT-401,0.7142857142857143,0.7428571428571428,0.00018896301723805484,0.33719954604802854,7.0
AIR TRACTOR INC,AT-402B,0.6666666666666666,0.75,0.00016196830048976127,0.3583819238234803,6.0
AIR TRACTOR INC,AT-502,0.5384615384615384,0.7,0.0005058650424592072,0.39476714412812236,13.0
AIR TRACTOR INC,AT-502B,0.68,0.6839999999999999,0.0006748679187073386,0.3334024603756122,26.0
AIR TRACTOR INC,AT-602,0.46153846153846156,0.7153846153846153,0.000701862635455632,0.4302105587906367,27.0
AIR TRACTOR INC,AT-802A,0.16666666666666666,0.8,0.00040492075122440323,0.5734548095587007,17.0
AIRBUS,319-132,0.9916666666666667,0.5,2.699471674829355e-05,0.15334143174835782,120.0
AIRBUS,320,0.9958333333333333,0.6,5.39894334965871e-05,0.18168286349671564,282.0
AIRBUS,321,0.5,0.5,0.0002089231582279782,0.3500626769474684,192.0
AIRBUS,330,0.35294117647058826,0.5,2.699471674829355e-05,0.40883162782678917,17.0
AIRBUS,A220,0.75,0.45,0.0007277137659187386,0.23521831412977562,352.0
AIRBUS,A300B4-203,0.0,1.0,2.699471674829355e-05,0.7000080984150244,5.0
AIRBUS,A310,0.0,1.0,2.699471674829355e-05,0.7000080984150244,153.0
AIRBUS,A319,0.43511673699015474,0.47777777777777775,0.0013274885238543795,0.3696848850944278,331.0
AIRBUS,A319 - 132,0.36538461538461536,0.6,0.0002089231582279782,0.4339088307936223,130.0
AIRBUS,A319 112,1.0,0.3,0.00018192844147968466,0.0900545785324439,136.0
AIRBUS,A319 114,0.9917355371900827,0.5,2.699471674829355e-05,0.15331388353899142,121.0
AIRBUS,A319 115,0.9428294573643411,0.45,0.0002629125917245653,0.15794709083178093,467.0
